MUN_PROV,MUN_CODI,MUN_INE,MUN_DIGIT,MUN_NOM,MUN_NOM2,MUN_NOM3,MUN_NOM2_PART,MUN_BAIXA,MUN_DATA_ACT
8.0000000000000000e+00,1.5900000000000000e+02,"08159",,"PARETS DEL VALLES","Parets del Vallès","Parets del Vallès",,,
8.0000000000000000e+00,1.6000000000000000e+02,"08160",,"PERAFITA","Perafita","Perafita",,,
8.0000000000000000e+00,1.6100000000000000e+02,"08161",,"PIERA","Piera","Piera",,,
8.0000000000000000e+00,1.6200000000000000e+02,"08162",,"HOSTALETS DE PIEROLA, Els","Hostalets de Pierola","Els Hostalets de Pierola","Els",,
8.0000000000000000e+00,1.6300000000000000e+02,"08163",,"PINEDA DE MAR","Pineda de Mar","Pineda de Mar",,,
8.0000000000000000e+00,1.6400000000000000e+02,"08164",,"PLA DEL PENEDES, El","Pla del Penedès","El Pla del Penedès","El",,
8.0000000000000000e+00,1.6500000000000000e+02,"08165",,"POBLA DE CLARAMUNT, La","Pobla de Claramunt","La Pobla de Claramunt","La",,
8.0000000000000000e+00,1.6600000000000000e+02,"08166",,"POBLA DE LILLET, La","Pobla de Lillet","La Pobla de Lillet","La",,
8.0000000000000000e+00,1.6700000000000000e+02,"08167",,"POLINYA","Polinyà","Polinyà",,,
8.0000000000000000e+00,1.6800000000000000e+02,"08168",,"PONTONS","Pontons","Pontons",,,
8.0000000000000000e+00,1.6900000000000000e+02,"08169",,"PRAT DE LLOBREGAT, El","Prat de Llobregat","El Prat de Llobregat","El",,
8.0000000000000000e+00,1.7000000000000000e+02,"08170",,"PRATS DE REI, Els","Prats de Rei","Els Prats de Rei","Els",,
8.0000000000000000e+00,1.7100000000000000e+02,"08171",,"PRATS DE LLUÇANES","Prats de Lluçanès","Prats de Lluçanès",,,
8.0000000000000000e+00,1.7200000000000000e+02,"08172",,"PREMIA DE MAR","Premià de Mar","Premià de Mar",,,
8.0000000000000000e+00,1.7400000000000000e+02,"08174",,"PUIGDALBER","Puigdàlber","Puigdàlber",,,
8.0000000000000000e+00,1.7500000000000000e+02,"08175",,"PUIG-REIG","Puig-reig","Puig-reig",,,
8.0000000000000000e+00,1.7600000000000000e+02,"08176",,"PUJALT","Pujalt","Pujalt",,,
8.0000000000000000e+00,1.7700000000000000e+02,"08177",,"QUAR, La","Quar","La Quar","La",,
8.0000000000000000e+00,1.7800000000000000e+02,"08178",,"RAJADELL","Rajadell","Rajadell",,,
8.0000000000000000e+00,1.7900000000000000e+02,"08179",,"RELLINARS","Rellinars","Rellinars",,,
8.0000000000000000e+00,1.8000000000000000e+02,"08180",,"RIPOLLET","Ripollet","Ripollet",,,
8.0000000000000000e+00,1.8100000000000000e+02,"08181",,"ROCA DEL VALLES, La","Roca del Vallès","La Roca del Vallès","La",,
8.0000000000000000e+00,1.8200000000000000e+02,"08182",,"PONT DE VILOMARA I ROCAFORT, El","Pont de Vilomara i Rocafort","El Pont de Vilomara i Rocafort","El",,
8.0000000000000000e+00,1.8300000000000000e+02,"08183",,"RODA DE TER","Roda de Ter","Roda de Ter",,,
8.0000000000000000e+00,1.8400000000000000e+02,"08184",,"RUBI","Rubí","Rubí",,,
8.0000000000000000e+00,1.8500000000000000e+02,"08185",,"RUBIO","Rubió","Rubió",,,
